Abstract,True Title,Predicted Title,ROUGE Score,BLEU Score
"  Classical secular theory can be a powerful tool to describe the qualitativecharacter of multi-planet systems and offer insight into their histories. Theeigenmodes of the secular behavior, rather than current orbital elements, canhelp identify tidal effects, early planet-planet scattering, and dynamicalcoupling among the planets, for systems in which mean-motion resonances do notplay a role. Although tidal damping can result in aligned major axes after allbut one eigenmode have damped away, such alignment may simply be fortuitous. Anexample of this is 55 Cancri (orbital solution of Fischer et al., 2008) wheremultiple eigenmodes remain undamped. Various solutions for 55 Cancri arecompared, showing differing dynamical groupings, with implications for thecoupling of eccentricities and for the partitioning of damping among theplanets. Solutions for orbits that include expectations of past tidal evolutionwith observational data, must take into account which eigenmodes should bedamped, rather than expecting particular eccentricities to be near zero.Classical secular theory is only accurate for low eccentricity values, butcomparison with other results suggests that it can yield useful qualitativedescriptions of behavior even for moderately large eccentricity values, and mayhave advantages for revealing underlying physical processes and, as largenumbers of new systems are discovered, for triage to identify where morecomprehensive dynamical studies should have priority.","Sieve-SDP: a simple facial reduction algorithm to preprocess
  semidefinite programs","Sieve-SDP: A Simple Facial Reduction Algorithm for Semidefinite
",0.7999999999999999,0.4630777161991027
"  We prove sharp $L^3$ bounds for a variable coefficient generalization of theWolff circular maximal function $M^\delta f$. For each fixed radius $r$,$M^\delta f(r)$ is the maximal average of $f$ over the $\delta$--neighborhoodof a circle of radius $r$ and arbitrary center. In this paper, we considermaximal averages over families of curves satisfying the cinematic curvaturecondition, which was first introduced by Sogge to generalize the Bourgaincircular maximal function. Our proof manages to avoid a key technical lemma inWolff's original argument, and thus our proof also yields a shorter proof ofthe boundedness of the (conventional) Wolff circular maximal function. At theheart of the proof is an induction argument that employs an efficientpartitioning of $\mathbb{R}^3$ into cells using the discrete polynomial hamsandwich theorem.",Transition Systems for Model Generators - A Unifying Approach,Satisfiability solvers for propositional logic,0.15384615384615385,0.3004843884984905
"  Publish/subscribe (pub/sub) is an attractive communication paradigm forlarge-scale distributed applications running across multiple administrativedomains. Pub/sub allows event-based information dissemination based onconstraints on the nature of the data rather than on pre-establishedcommunication channels. It is a natural fit for deployment in untrustedenvironments such as public clouds linking applications across multiple sites.However, pub/sub in untrusted environments lead to major confidentialityconcerns stemming from the content-centric nature of the communications. Thissurvey classifies and analyzes different approaches to confidentialitypreservation for pub/sub, from applications of trust and access control modelsto novel encryption techniques. It provides an overview of the currentchallenges posed by confidentiality concerns and points to future researchdirections in this promising field.","Two-loop AdS_5 x S^5 superstring: testing asymptotic Bethe ansatz and
  finite size corrections",Two-loop corrections to the energy of folded strings,0.24000000000000005,0.37848698581337653
"  We continue the investigation of two-loop string corrections to the energy ofa folded string with a spin S in AdS_5 and an angular momentum J in S^5, in thescaling limit of large J and S with ell=pi J/(lambda^(1/2) ln S)=fixed. Wecompute the generalized scaling function at two-loop order f_2(ell) both forsmall and large values of ell matching the predictions based on the asymptoticBethe ansatz. In particular, in the small ell expansion, we derive an exactintegral form for the ell-dependent coefficient of the Catalan's constant termin f_2(ell). Also, by resumming a certain subclass of multi-loop Feynmandiagrams we obtain an exact expression for the leading (ln ell) part off(lambda^(1/2), ell) which is valid to any order in the alpha'~1/lambda^(1/2)expansion. At large ell the string energy has a BMN-like expansion and thefirst few leading coefficients are expected to be the same at weak and atstrong coupling. We provide a new example of this non-renormalization for theterm which is generated at two loops in string theory and at one-loop in gaugetheory (sub-sub-leading in 1/J). We also derive a simple algebraic formula forthe term of maximal transcendentality in f_2(ell) expanded at large ell. In thesecond part of the paper we initiate the study of 2-loop finite sizecorrections to the string energy by formally compactifying the spatialworld-sheet direction in the string action expanded near long fast-spinningstring. We observe that the leading finite-size corrections are of ""Casimir""type coming from terms containing at least one massless propagator. We considerin detail the one-loop order (reproducing the leading Landau-Lifshitz modelprediction) and then focus on the two-loop contributions to the (1/ln S) term(for J=0). We find that in a certain regularization scheme used to discardpower divergences the two-loop coefficient of the (1/ln S) term appears tovanish.",Privacy Policy Negotiation in Social Media,"A Heuristic for a Better Privacy-Aware Social Media
  Negotiation Mechanism",0.3529411764705882,0.427287006396234
"  Temporal coding is one approach to representing information in spiking neuralnetworks. An example of its application is the location of sounds by barn owlsthat requires especially precise temporal coding. Dependent upon the azimuthalangle, the arrival times of sound signals are shifted between both ears. Inorder to deter- mine these interaural time differences, the phase difference ofthe signals is measured. We implemented this biologically inspired network on aneuromorphic hardware system and demonstrate spike-timing dependent plasticityon an analog, highly accelerated hardware substrate. Our neuromorphicimplementation enables the resolution of time differences of less than 50 ns.On-chip Hebbian learning mechanisms select inputs from a pool of neurons whichcode for the same sound frequency. Hence, noise caused by different synapticdelays across these inputs is reduced. Furthermore, learning compensates forvariations on neuronal and synaptic parameters caused by device mismatchintrinsic to the neuromorphic substrate.",Topological effects on string vacua,Topological effects on the construction of string flux-vacua,0.7142857142857143,0.392814650900513
"  The memory model for RISC-V, a newly developed open source ISA, has not beenfinalized yet and thus, offers an opportunity to evaluate existing memorymodels. We believe RISC-V should not adopt the memory models of POWER or ARM,because their axiomatic and operational definitions are too complicated. Wepropose two new weak memory models: WMM and WMM-S, which balance definitionalsimplicity and implementation flexibility differently. Both allow allinstruction reorderings except overtaking of loads by a store. We show thatthis restriction has little impact on performance and it considerablysimplifies operational definitions. It also rules out the out-of-thin-airproblem that plagues many definitions. WMM is simple (it is similar to theAlpha memory model), but it disallows behaviors arising due to shared storebuffers and shared write-through caches (which are seen in POWER processors).WMM-S, on the other hand, is more complex and allows these behaviors. We givethe operational definitions of both models using Instantaneous InstructionExecution (I2E), which has been used in the definitions of SC and TSO. We alsoshow how both models can be implemented using conventional cache-coherentmemory systems and out-of-order processors, and encompasses the behaviors ofmost known optimizations.",Modeling anisotropic elasticity of fluid membranes,Tranangulated surface model of membranes,0.5454545454545454,0.6511126026643229
"  We study the wave functions of light and heavy mesons in both hard-wall (HW)and soft-wall (SW) holographic models which use AdS/CFT correspondence. In thecase of massless constituents, the asymptotic behaviors of the electromagneticform factor, the distribution amplitudes, and the decay constants for the twomodels are the same, if the relation between the dilaton scale parameter andthe size of meson is an inverse proportion. On the other hand, by introducing aquark mass dependence in the wave function, the differences of the distributionamplitudes between the two models are obvious. In addition, for the SW model,the dependences of the decay constants of meson on the dilaton scale parameter$\kappa$ differ; especially f_{Qq}\sim \kappa^3/m_Q^2 is consistent with theprediction of the heavy quark effective theory if \kappa\sim m_Q^{1/2}. Thusthe parameters of the two models are fit by the decay constants of the distinctmesons; the distribution amplitudes and the \xi-moments are calculated andcompared.",ALICE HLT TPC Tracking of Pb-Pb Events on GPUs,GPU-based online tracker for the ALICE experiment,0.11111111111111112,0.46199933699457096
"  The evolution in the design of modern parallel platforms leads to revisit thescheduling jobs on distributed heterogeneous resources. The goal of this surveyis to present the main existing algorithms, to classify them based on theirunderlying principles and to propose unified implementations to enable theirfair comparison, both in terms of running time and quality of schedules, on alarge set of common benchmarks that we made available for the community. Beyondthis comparison, our goal is also to understand the main difficulties thatheterogeneity conveys and the shared principles that guide the design ofefficient algorithms.",QOS based user driven scheduler for grid environment,QoS based User Driven Scheduling for Autonomic Grid,0.875,0.7071067811865476
"  In (2+1)-dimensional systems with broken parity, there exists yet anothertransport coefficient, appearing at the same order as the shear viscosity inthe hydrodynamic derivative expansion. In condensed matter physics, it isreferred to as ""Hall viscosity"". We consider a simple holographic realizationof a (2+1)-dimensional isotropic fluid with broken spatial parity. Usingtechniques of fluid/gravity correspondence, we uncover that the holographicfluid possesses a nonzero Hall viscosity, whose value only depends on thenear-horizon region of the background. We also write down a Kubo's formula forthe Hall viscosity. We confirm our results by directly computing the Hallviscosity using the formula.","Identification of the absorption processes in periodic plasmonic
  structures using Energy Absorption Interferometry",Energy Absorption Interferometry for Periodic Absorbers,0.3157894736842105,0.14725349301688395
  In this paper use the Stein method to characterize the $M$-Wrightdistribution $M_{\frac{1}{3}}$ and its symmetrization. The Stein operator isassociated with the general Airy equation and the corresponding Stein equationis nothing but a general inhomogeneous Airy equation.,"A Novel Data Pre-processing Technique: Making Data Mining Robust to
  Different Units and Scales of Measurement",A New Approach for Pre-processing of Data using Rank Transformation,0.2857142857142857,0.43645382979233377
